Snapshot_Date,SKU,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Inventory_Value,Total_Pipeline_Stock,Is_Below_Reorder_Point,Is_Below_Safety_Stock,Stock_Status,Average_Forecast_Demand,Stock_Coverage_Weeks,Lead_Time_Weeks,Lead_Time_Demand,Available_Stock,Stockout_Gap,Stockout_Risk,Excess_Stock,Overstock_Risk,Overall_Risk,Recommendation,Risk_Score
2024-01-01,SKU001,16,23,11,7,18,58420.96,39,1,0,Reorder Needed (<= Reorder Point),84.35095557248381,0.18968368397736768,1.5714285714285714,132.55150161390313,39,100.55150161390313,HIGH,-996.2114668698057,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU002,29,12,4,5,10,163983.4,41,0,0,Healthy (> Reorder Point),60.610605206310034,0.47846412193522986,0.5714285714285714,34.63463154646288,41,-1.3653684535371227,LOW,-698.3272624757204,LOW,LOW,HEALTHY,0
2024-01-01,SKU003,34,23,14,6,20,209060.22,57,0,0,Healthy (> Reorder Point),34.20813909588409,0.993915509542899,2.0,68.41627819176819,57,17.416278191768185,HIGH,-376.4976691506091,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU004,34,4,7,5,12,42257.92,38,0,0,Healthy (> Reorder Point),27.974245966626015,1.2154036266272508,1.0,27.974245966626015,38,-5.025754033373985,LOW,-301.6909515995122,LOW,LOW,HEALTHY,0
2024-01-01,SKU005,23,5,5,6,11,170945.89,28,0,0,Healthy (> Reorder Point),101.36967098364632,0.2268923217054786,0.7142857142857143,72.40690784546166,28,50.40690784546166,HIGH,-1193.4360518037558,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU006,13,6,5,5,10,86143.2,19,0,0,Healthy (> Reorder Point),37.22048017150538,0.3492700776588132,0.7142857142857143,26.586057265360985,19,12.586057265360985,HIGH,-433.6457620580645,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU007,12,2,3,7,10,54576.36,14,0,0,Healthy (> Reorder Point),148.4626504518179,0.08082841013197782,0.42857142857142855,63.62685019363624,14,56.626850193636244,HIGH,-1769.5518054218146,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU008,18,22,7,5,12,119954.52,40,0,0,Healthy (> Reorder Point),97.15146048182743,0.18527770875217026,1.0,97.15146048182743,40,62.15146048182743,HIGH,-1147.8175257819291,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU009,13,14,12,5,17,38968.54,27,1,0,Reorder Needed (<= Reorder Point),61.66929685639556,0.21080181974949508,1.7142857142857142,105.71879461096381,27,83.71879461096381,HIGH,-727.0315622767467,LOW,HIGH,REORDER NOW,60
2024-01-01,SKU010,28,9,12,5,17,200807.32,37,0,0,Healthy (> Reorder Point),99.10270304793268,0.2825351795546619,1.7142857142857142,169.8903480821703,37,137.8903480821703,HIGH,-1161.2324365751922,LOW,HIGH,REORDER NOW,60
