Date,SKU,Units_Sold,Revenue,Price,Promotion,Year,Month,Day,Day_of_Week,Is_Weekend,ISO_Week,Year_Week,Calculated_Revenue,Is_Zero_Sales
2024-01-01,SKU001,5,18320.25,3664.05,0,2024,1,1,Monday,0,1,2024-W01,18320.25,0
2024-01-01,SKU002,15,57085.35,3805.69,0,2024,1,1,Monday,0,1,2024-W01,57085.35,0
2024-01-01,SKU003,5,40391.15,8078.23,0,2024,1,1,Monday,0,1,2024-W01,40391.149999999994,0
2024-01-01,SKU004,5,34307.85,6861.57,0,2024,1,1,Monday,0,1,2024-W01,34307.85,0
2024-01-01,SKU005,12,113918.64,9493.22,0,2024,1,1,Monday,0,1,2024-W01,113918.63999999998,0
2024-01-01,SKU006,7,56742.28,8106.04,0,2024,1,1,Monday,0,1,2024-W01,56742.28,0
2024-01-01,SKU007,27,138080.43,5114.09,0,2024,1,1,Monday,0,1,2024-W01,138080.43,0
2024-01-01,SKU008,14,137796.96,9842.64,0,2024,1,1,Monday,0,1,2024-W01,137796.96,0
2024-01-01,SKU009,9,21032.01,2336.89,0,2024,1,1,Monday,0,1,2024-W01,21032.01,0
2024-01-01,SKU010,20,13269.2,663.46,0,2024,1,1,Monday,0,1,2024-W01,13269.2,0
2024-01-01,SKU011,1,1444.56,1444.56,0,2024,1,1,Monday,0,1,2024-W01,1444.56,0
2024-01-01,SKU012,17,149249.29,8779.37,0,2024,1,1,Monday,0,1,2024-W01,149249.29,0
2024-01-01,SKU013,17,97882.26,5757.78,0,2024,1,1,Monday,0,1,2024-W01,97882.26,0
2024-01-01,SKU014,20,45415.0,2270.75,0,2024,1,1,Monday,0,1,2024-W01,45415.0,0
2024-01-01,SKU015,6,37272.72,6212.12,0,2024,1,1,Monday,0,1,2024-W01,37272.72,0
2024-01-01,SKU016,13,28168.66,2166.82,0,2024,1,1,Monday,0,1,2024-W01,28168.660000000003,0
2024-01-01,SKU017,10,84773.2,8477.32,0,2024,1,1,Monday,0,1,2024-W01,84773.2,0
2024-01-01,SKU018,29,161686.89,5575.41,0,2024,1,1,Monday,0,1,2024-W01,161686.88999999998,0
2024-01-01,SKU019,8,38558.8,4819.85,0,2024,1,1,Monday,0,1,2024-W01,38558.8,0
2024-01-01,SKU020,11,42872.94,3897.54,0,2024,1,1,Monday,0,1,2024-W01,42872.94,0
2024-01-01,SKU021,5,38556.4,7711.28,0,2024,1,1,Monday,0,1,2024-W01,38556.4,0
2024-01-01,SKU022,6,27582.18,4597.03,0,2024,1,1,Monday,0,1,2024-W01,27582.18,0
2024-01-01,SKU023,14,19834.36,1416.74,0,2024,1,1,Monday,0,1,2024-W01,19834.36,0
2024-01-01,SKU024,16,28301.92,1768.87,0,2024,1,1,Monday,0,1,2024-W01,28301.92,0
2024-01-01,SKU025,1,11558.01,11558.01,0,2024,1,1,Monday,0,1,2024-W01,11558.01,0
2024-01-01,SKU026,17,185972.18,10939.54,0,2024,1,1,Monday,0,1,2024-W01,185972.18000000002,0
2024-01-01,SKU027,21,178848.6,8516.6,0,2024,1,1,Monday,0,1,2024-W01,178848.6,0
2024-01-01,SKU028,4,13936.36,3484.09,0,2024,1,1,Monday,0,1,2024-W01,13936.36,0
2024-01-01,SKU029,22,256133.9,11642.45,0,2024,1,1,Monday,0,1,2024-W01,256133.90000000002,0
2024-01-01,SKU030,9,84901.59,9433.51,0,2024,1,1,Monday,0,1,2024-W01,84901.59,0
2024-01-01,SKU031,23,200466.39,8715.93,0,2024,1,1,Monday,0,1,2024-W01,200466.39,0
2024-01-01,SKU032,7,39288.13,5612.59,0,2024,1,1,Monday,0,1,2024-W01,39288.130000000005,0
2024-01-01,SKU033,15,53370.0,3558.0,0,2024,1,1,Monday,0,1,2024-W01,53370.0,0
2024-01-01,SKU034,17,25808.38,1518.14,0,2024,1,1,Monday,0,1,2024-W01,25808.38,0
2024-01-01,SKU035,27,293495.13,10870.19,0,2024,1,1,Monday,0,1,2024-W01,293495.13,0
2024-01-01,SKU036,7,39809.0,5687.0,0,2024,1,1,Monday,0,1,2024-W01,39809.0,0
2024-01-01,SKU037,27,74180.34,2747.42,0,2024,1,1,Monday,0,1,2024-W01,74180.34,0
2024-01-01,SKU038,6,23694.6,3949.1,0,2024,1,1,Monday,0,1,2024-W01,23694.6,0
2024-01-01,SKU039,5,35594.75,7118.95,0,2024,1,1,Monday,0,1,2024-W01,35594.75,0
2024-01-01,SKU040,12,29406.72,2450.56,0,2024,1,1,Monday,0,1,2024-W01,29406.72,0
2024-01-01,SKU041,7,72357.11,10336.73,0,2024,1,1,Monday,0,1,2024-W01,72357.11,0
