Week_Start,SKU,Units_Sold,Forecast_Units
2024-12-30,SKU001,102,89.90515234754652
2025-01-06,SKU001,76,56.878412712647844
2025-01-13,SKU001,104,93.77639429123562
2025-01-20,SKU001,91,96.74812336627932
2025-01-27,SKU001,106,93.51487165389527
2025-02-03,SKU001,103,100.41860814851304
2025-02-10,SKU001,112,104.61712172696554
2025-02-17,SKU001,117,109.24487544793641
2025-02-24,SKU001,109,116.19008983881622
2025-03-03,SKU001,105,115.16108013612865
2025-03-10,SKU001,109,120.85302775156217
2025-03-17,SKU001,134,125.85823021048932
2025-03-24,SKU001,127,124.15807150433477
2025-03-31,SKU001,112,122.92138873753531
2025-04-07,SKU001,98,112.8786130875688
2025-04-14,SKU001,113,108.5054818630556
2025-04-21,SKU001,111,107.84593086130037
2025-04-28,SKU001,134,114.08204161953871
2025-05-05,SKU001,94,108.91777009822316
2025-05-12,SKU001,121,110.07857784528935
2025-05-19,SKU001,117,114.5187276659447
2025-05-26,SKU001,116,114.91671261890963
2025-06-02,SKU001,114,115.3370008086945
2025-06-09,SKU001,123,120.39799712642917
2025-06-16,SKU001,99,117.8465360403662
2025-06-23,SKU001,118,114.30163543421935
2025-06-30,SKU001,130,116.9062117345411
2025-07-07,SKU001,101,103.18755780210381
2025-07-14,SKU001,114,103.10151540169302
2025-07-21,SKU001,114,105.20360939895716
2025-07-28,SKU001,116,104.48812564274942
2025-08-04,SKU001,93,104.09205774515428
2025-08-11,SKU001,76,96.92061565053477
2025-08-18,SKU001,84,89.9538166437493
2025-08-25,SKU001,101,93.68455626771738
2025-09-01,SKU001,92,86.47731760658422
2025-09-08,SKU001,92,90.60598602501229
2025-09-15,SKU001,89,90.553535664023
2025-09-22,SKU001,85,91.18730232786955
2025-09-29,SKU001,84,89.57917453584218
2025-10-06,SKU001,86,80.12776998266727
2025-10-13,SKU001,79,83.47395199540112
2025-10-20,SKU001,88,83.0057934132823
2025-10-27,SKU001,77,82.26098006059124
2025-11-03,SKU001,96,89.96868100316736
2025-11-10,SKU001,89,94.27678897125621
2025-11-17,SKU001,83,87.51761564266782
2025-11-24,SKU001,92,90.56888704980565
2025-12-01,SKU001,81,85.56605480847278
2025-12-08,SKU001,89,90.45416877043922
2025-12-15,SKU001,93,89.89038651084553
2025-12-22,SKU001,82,86.42636446345163
2025-12-29,SKU001,81,83.10951845926436
2026-01-05,SKU001,25,63.08600476584506
2024-12-30,SKU002,63,63.563860539773955
2025-01-06,SKU002,72,49.59852910450269
2025-01-13,SKU002,66,65.94725104340418
2025-01-20,SKU002,64,65.79580387688425
2025-01-27,SKU002,66,67.02751535000863
2025-02-03,SKU002,84,72.4010862776475
2025-02-10,SKU002,76,75.570173170722
